Yfirflokkur;Undirflokkur;Janúar;Febrúar;Mars;Apríl;Maí;Júní;Júlí;Ágúst;September;Október;Nóvember;Desember
Rekstrargjöld;Laun;12888093041;12156097975;12339749851;12471902225;12899516712;12372336134;12399207987;14926666238;12964791364;12650097928;16682240740;16129045582
Rekstargjöld;Lífeyrisskuldbindingar;1001634745;945684469;1051972641;1031143960;995976080;1106603857;1040295830;1037029039;1054940072;1142132374;1143177667;867090151
Rekstrargjöld;Önnur gjöld;9918195630;10938881306;16572343095;9974428972;11496432878;11072510120;10680590553;10856881832;12753245147;11563278815;11583598858;17852081506
Rekstrargjöld;Sértekjur stofnana;-2254253429;-2908968428;-3647526654;-3151518421;-2988606262;-4708027717;-2817345404;-3653759041;-3877563202;-3105017152;-3533543141;-7030636330
Fjármagnskostnaður;Fjármagnskostnaður;7215932574;12312343205;3077064954;5210223746;5861371475;11710265830;7720919943;2157134114;1620430705;10328040571;5987778381;3747526755
Rekstrar- og neyslutilfærslur;Lífeyristryggingar;5984099208;6062571989;5972585824;5964567985;6028951716;5957490727;6740079759;6417782626;6079028502;6057845721;6300842166;7404586565
Rekstrar- og neyslutilfærslur;Sjúkratryggingar;2044195264;2279509817;2768722169;2449260214;2874694654;3214596860;2255738254;2522655456;1462933189;2288645075;2961516538;3144526941
Rekstrar- og neyslutilfærslur;Bætur skv. lögum um félagsl.aðstoð;1122989344;1130998883;1130276582;1118594499;1143040477;1131831529;1213133900;970940424;1072143761;1093770381;1141596016;1321574993
Rekstrar- og neyslutilfærslur;Fæðingarorlof;861232373;768543910;743118160;722407799;747803898;765934468;919690820;834387055;738691548;724378304;720448274;736977050
Rekstrar- og neyslutilfærslur;Greiðslur vegna b-vöruframleiðslu;615596773;1219627566;1213738275;689325298;722359623;919265302;724129868;932895639;909881707;623715697;1527274799;577377055
Rekstrar- og neyslutilfærslur;Barnabætur;2452422291;38369964;15057454;2496971361;23771902;17751151;2575199432;-24612339;-8456428;2685099989;30065756;13794244
Rekstrar- og neyslutilfærslur;Vaxtabætur;110854549;12783900;20110021;64763841;10206934;14863463;5747539616;1079097606;49803280;61970750;35227131;14273952
Rekstrar- og neyslutilfærslur;Jöfnunarsjóður sveitarfélaga;1492707997;1386757124;1438430091;1486049544;1462339458;1530936845;1498142310;1501836590;1538001661;1538010705;1491593122;2487594553
Rekstrar- og neyslutilfærslur;Atvinnuleysistryggingasjóður;1007656150;1142559084;1080916723;951886195;999973118;865101977;801385269;868762086;769051314;791062799;966264038;982997953
Rekstrar- og neyslutilfærslur;Lánasjóður íslenskra námsmanna;5500000000;0;0;0;0;2500000000;0;0;0;0;6762154;320805991
Rekstrar- og neyslutilfærslur;Sóknargjöld;185223664;185223664;185223664;185223664;185223664;185223664;185223664;185223664;185223664;185223664;185223664;185223664
Rekstrar- og neyslutilfærslur;Aðrar rekstrar og neyslutilfærslur;2108801440;2330175236;3293533193;3405686700;1983077446;2809711946;2475424605;3042164716;2177212860;2352007443;2860308670;10117121355
Viðhald;Vegagerðin;55337184;55169639;110329776;158213384;224499081;590004108;1171701768;940222913;1103599896;770937642;600842764;479937944
Viðhald;Fasteignir ríkissjóðs;76443546;139822521;226471017;88162155;277369080;187929082;328284338;381787065;437740054;152494853;522386276;527010381
Viðhald;Annað Viðhald;42094612;195279533;228433133;171864842;195243797;208323045;141112257;222674469;255522382;185267504;204650170;351969010
Fjármangstilfærslur;Vegagerðin;11117554;266310;210800;5595154;4738170;7852153;2944560;4420638;8514000;5404515;25692424;123558410
Fjármangstilfærslur;biflánasjóður;0;0;0;0;0;0;0;0;0;0;0;0
Fjármangstilfærslur;Niðurfærsla verðtryggðra húsnæðislána;0;8869795468;6219592926;810079901;693271937;464069312;1591185052;283343805;181934401;231408150;140557931;-1027610148
Fjármangstilfærslur;Annað;164838397;496321497;1008973162;347036331;449609846;1116307331;422822639;3567897484;-259560830;408698869;406122191;2261454814
Fjárfesting;Vegagerðin;444545496;424845920;481298109;511018202;530844021;612273874;766176132;873132478;976048308;802609563;1000668927;1105559000
Fjárfesting;Skólar;17477674;88224530;120439053;52413556;8300033;69714204;366973340;95217664;37746579;-11251970;171195586;452340803
Fjárfesting;Sjúkrahús og heilsugæslustöðvar;84883089;199832202;80457123;135669724;30757818;349714385;45570502;-240142551;1028060947;150622767;159538699;834204334
Fjárfesting;Hafnamél;12870349;25727174;19164829;0;11016342;150717320;0;51191261;75006111;147557234;124506242;63014921
Fjárfesting;Annað;54984297;65060023;72085897;21078821;69070543;580167064;226945923;77970296;225162731;391885071;178293322;1449891025
Gjöld alls;Gjöld alls;53219973812;60561504481;55822771868;47372049652;46940854441;55803468034;59223072917;49912801227;43559138301;54215892684;53624829365;65493292474
