ORKA,thus.tonn,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiskiskip,CO2 íg.,746,717,800,862,848,926,947,934,919,902,897,740,838,805,827,746,680,773,710,766,728,660,654,618,609,624,521,534,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegasamgöngur,CO2 íg.,530,549,563,560,568,558,539,570,579,605,616,623,632,711,747,776,884,915,861,862,815,796,791,805,782,827,903,953,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innanlandsflug,CO2 íg.,32,31,26,25,23,30,34,32,33,32,28,25,22,22,24,26,28,22,26,22,21,20,21,20,41,21,23,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strandsiglingar,CO2 íg.,60,55,57,61,58,38,44,27,21,18,13,21,19,34,49,23,52,62,56,32,35,19,14,16,21,27,28,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vélar og tæki,CO2 íg.,135,129,120,130,132,166,161,194,196,215,220,215,202,185,222,241,218,220,213,148,119,109,104,99,144,118,137,141,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldsneytisbruni vegna framleiðsluiðnaðar,CO2 íg.,242,171,235,254,230,218,265,303,278,288,236,286,301,258,221,185,187,186,163,118,113,99,81,75,32,57,60,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldsneytisbruni vegna orkuiðnaðar,CO2 íg.,14,15,14,17,17,22,16,12,15,12,11,10,12,10,8,8,17,35,18,13,14,11,12,5,5,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarðvarmavirkjanir,CO2 íg.,62,70,68,86,70,82,82,67,84,112,154,145,148,137,124,119,129,150,188,172,194,183,175,177,187,167,152,149,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annað,CO2 íg.,49,47,44,45,33,29,40,29,36,37,30,26,24,25,66,48,41,21,17,16,25,17,10,12,16,14,9,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samtals,CO2 íg.,1869,1784,1927,2039,1979,2070,2127,2168,2162,2222,2205,2090,2198,2187,2287,2173,2236,2383,2252,2151,2063,1915,1861,1825,1837,1859,1835,1878,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
