1,Búrfellsvirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,310000,Francis,1996,NULL,1,459366,400506
2,Blöndustöð,Landsvirkjun,1,Vatnsaflsvirkjun,180000,Francis,1991,NULL,1,461945,546618
3,Búðarhálsvirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,120000,Kaplan,2014,NULL,1,482127,414791
4,Kárahnjúkavirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,690000,Francis,2007,NULL,1,"687433,294","507380,658"
5,Hrauneyjafossvirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,280000,Francis,1981,NULL,1,488387,410896
6,Írafossstöð,Landsvirkjun,1,Vatnsaflsvirkjun,47800,Francis,1953,NULL,1,402191,399919
7,Laxárstöð 1,Landsvirkjun,1,Vatnsaflsvirkjun,5000,Francis,1939,NULL,1,577337,592039
8,Laxárstöð 2,Landsvirkjun,1,Vatnsaflsvirkjun,8576,Francis,1953,NULL,1,576768,592483
9,Laxárstöð 3,Landsvirkjun,1,Vatnsaflsvirkjun,14100,Francis,1973,NULL,1,577406,592022
10,Ljósafossstöð,Landsvirkjun,1,Vatnsaflsvirkjun,15000,Francis,1937,NULL,1,401991,400579
11,Sigölduvirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,200000,Francis,1977,NULL,1,493907,407800
12,Steingrímsstöð,Landsvirkjun,1,Vatnsaflsvirkjun,30000,Kaplan,1959,NULL,1,401379,404541
13,Sultartangavirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,130000,Francis,1999,NULL,1,469880,407293
14,Vatnsfellsvirkjun,Landsvirkjun,1,Vatnsaflsvirkjun,110000,Francis,2001,NULL,1,498414,410392
15,Mosvallavirkjun,AB-Fasteignir,1,Vatnsaflsvirkjun,888,Pelton,2016,NULL,1,326897,502447
16,Andakílsárvirkjun,Orka Náttúrunnar,1,Vatnsaflsvirkjun,7900,Francis,1947,NULL,1,370739,451322
17,Sængurfossvirkjun,Arnarós hf,1,Vatnsaflsvirkjun,720,Pelton,1976,NULL,1,330449,595118
18,Bugavirkjun,Bugavirkjun ehf,1,Vatnsaflsvirkjun,41,Crossflow,2014,NULL,1,362465,437885
19,Djúpadalsvirkjun 1,Fallorka ehf,1,Vatnsaflsvirkjun,1900,Francis,2004,NULL,1,537931,554741
20,Djúpadalsvirkjun 2,Fallorka ehf,1,Vatnsaflsvirkjun,910,Francis,2004,NULL,1,535545,552102
21,Lindavirkjun,Grís-afl ehf,1,Vatnsaflsvirkjun,640,Pelton,2006,NULL,1,320720,501410
