Nr,Kortategund,HeitiKorts,StadurTekid,Nr1,Nr2,Stofnun,Mal,Ar,StadurUnnid,Tungumal,Filma,Tomt,Tala1,Tala2,Tala3,Tala4,Tala5,Tala6,Tala7,Tala8,Tegund
2,Grunnkort,Orkugrunnkort OS 20000,Berufjörður,2048,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"711314,1","492940,5","727310,4","493193,7","727468,6",483196,"711472,3","482942,9",OS_2
3,Grunnkort,Orkugrunnkort OS 20000,Geithellnadalur,2146,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695634,2",472692,"711630,5","472945,2","711788,7","462947,5","695792,5","462694,3",OS_3
4,Grunnkort,Orkugrunnkort OS 20000,Fossárdalur,2147,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,695476,"482689,7","711472,3","482942,9","711630,5","472945,2","695634,2",472692,OS_4
5,Grunnkort,Orkugrunnkort OS 20000,Ódáðavötn,2148,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695317,8","492687,4","711314,1","492940,5","711472,3","482942,9",695476,"482689,7",OS_5
6,Grunnkort,Orkugrunnkort OS 20000,Skriðuvatn,2149,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695159,6","502685,1","711155,9","502938,2","711314,1","492940,5","695317,8","492687,4",OS_6
7,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2150,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695001,4","512682,8","710997,7","512935,9","711155,9","502938,2","695159,6","502685,1",OS_7
8,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2151,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"694843,3","522680,5","710839,5","522933,6","710997,7","512935,9","695001,4","512682,8",OS_8
9,Grunnkort,Orkugrunnkort OS 20000,Kollumúli,2245,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"679796,2","462441,2","695792,5","462694,3","695950,7","452696,6","679954,4","452443,5",OS_9
10,Grunnkort,Orkugrunnkort OS 20000,Norðurhnúta,2246,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,679638,"472438,8","695634,2",472692,"695792,5","462694,3","679796,2","462441,2",OS_10
11,Grunnkort,Orkugrunnkort OS 20000,Hraun,2247,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"679479,7","482436,5",695476,"482689,7","695634,2",472692,679638,"472438,8",OS_11
12,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2248,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679321,5","492434,2","695317,8","492687,4",695476,"482689,7","679479,7","482436,5",OS_12
13,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2249,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679163,3","502431,9","695159,6","502685,1","695317,8","492687,4","679321,5","492434,2",OS_13
14,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2250,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679005,2","512429,6","695001,4","512682,8","695159,6","502685,1","679163,3","502431,9",OS_14
15,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2251,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,678847,"522427,3","694843,3","522680,5","695001,4","512682,8","679005,2","512429,6",OS_15
16,Grunnkort,Orkugrunnkort OS 20000,Hengifossárvatn,2252,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678688,9",532425,"694685,1","532678,1","694843,3","522680,5",678847,"522427,3",OS_16
17,Grunnkort,Orkugrunnkort OS 20000,Skjöldólfsstaðir,2253,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678530,7","542422,7",694527,"542675,8","694685,1","532678,1","678688,9",532425,OS_17
18,Grunnkort,Orkugrunnkort OS 20000,Hofteigur,2254,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678372,6","552420,4","694368,8","552673,5",694527,"542675,8","678530,7","542422,7",OS_18
19,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2346,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663641,7","472185,7",679638,"472438,8","679796,2","462441,2","663799,9",462188,OS_19
20,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2347,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663483,4","482183,4","679479,7","482436,5",679638,"472438,8","663641,7","472185,7",OS_20
21,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2348,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663325,2","492181,1","679321,5","492434,2","679479,7","482436,5","663483,4","482183,4",OS_21
22,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2349,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,663167,"502178,8","679163,3","502431,9","679321,5","492434,2","663325,2","492181,1",OS_22
23,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2350,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663008,9","512176,5","679005,2","512429,6","679163,3","502431,9",663167,"502178,8",OS_23
24,Grunnkort,Orkugrunnkort OS 20000,Eiríksstaðir,2351,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"662850,7","522174,2",678847,"522427,3","679005,2","512429,6","663008,9","512176,5",OS_24
