Nafn,Númer,Greiningartimi,Spatimi,Villa,Vindhradi (m/s),Vindatt,Hiti,Veður
Reykjavík,1,8/17/2020 18:00,8/18/2020,,1,NV,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 1:00,,1,VNV,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 2:00,,2,V,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 3:00,,2,SV,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 4:00,,1,SV,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 5:00,,1,SSA,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 6:00,,2,SSV,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 7:00,,0,Logn,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 8:00,,1,NNA,12,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 9:00,,1,NNV,13,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 10:00,,1,NV,14,Skýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 11:00,,2,V,15,Skýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 12:00,,2,V,16,Skýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 13:00,,2,NV,18,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 14:00,,2,NV,19,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 15:00,,2,NNV,20,Skýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 16:00,,2,VSV,19,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 17:00,,4,SV,16,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 18:00,,5,SV,15,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 19:00,,3,VSV,15,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 20:00,,3,VSV,14,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 21:00,,2,V,14,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/18/2020 22:00,,2,NV,13,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/18/2020 23:00,,2,NNV,12,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 0:00,,2,NV,12,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 1:00,,2,VNV,12,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 2:00,,1,NV,11,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 3:00,,2,NV,11,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 4:00,,3,NV,11,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 5:00,,3,VNV,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 6:00,,3,VNV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 7:00,,2,SV,10,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 8:00,,3,S,10,Rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 9:00,,2,S,10,Rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 10:00,,1,SSV,10,Rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 11:00,,2,SSV,11,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 12:00,,3,SSV,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 13:00,,3,SSV,10,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 14:00,,2,SSV,10,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 15:00,,2,SSV,10,Lítils háttar rigning
Reykjavík,1,8/17/2020 18:00,8/19/2020 16:00,,2,SV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 17:00,,3,VSV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 18:00,,3,VSV,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 19:00,,3,VSV,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 20:00,,3,V,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 21:00,,3,VNV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 22:00,,3,VNV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/19/2020 23:00,,3,VNV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 0:00,,3,NV,10,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 1:00,,3,NNV,10,Skýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 2:00,,3,NNV,10,Léttskýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 3:00,,2,NNV,9,Skýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 4:00,,1,N,9,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 5:00,,1,ASA,9,Skýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 6:00,,2,A,8,Heiðskírt
Reykjavík,1,8/17/2020 18:00,8/20/2020 7:00,,2,A,8,Heiðskírt
Reykjavík,1,8/17/2020 18:00,8/20/2020 8:00,,2,A,9,Heiðskírt
Reykjavík,1,8/17/2020 18:00,8/20/2020 9:00,,1,A,10,Skýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 10:00,,1,N,11,Alskýjað
Reykjavík,1,8/17/2020 18:00,8/20/2020 11:00,,2,N,11,Alskýjað
