Ar,tegund,SU,VE,VF,NV,NE,AU,Samtals
2017,Álka,244,549,388,349,826,3050,5406
2017,Blesgæs,110,54,0,103,5,5,277
2017,Dílaskarfur,166,854,219,116,148,124,1627
2017,Duggönd,32,10,11,11,37,10,111
2017,Fýll,921,77,18,30,244,221,1511
2017,Grágæs,12924,4556,919,4126,10363,5396,38284
2017,Hávella,24,40,21,235,82,242,644
2017,Heiðagæs,3510,1530,184,2129,3106,5917,16376
2017,Helsingi,704,86,32,566,37,292,1717
2017,Hettumáfur,145,90,53,67,206,22,583
2017,Hrafn,278,464,349,620,511,329,2551
2017,Hreindýr,23,4,1,6,50,802,886
2017,Hvítmáfur,61,35,216,16,155,38,521
2017,Kjói,29,39,33,42,72,57,272
2017,Langvía,752,1252,1032,2104,2774,1541,9455
2017,Lundi,248,2257,4237,8450,10148,199,25539
2017,Minkur,509,1270,363,324,366,609,3441
2017,Rauðhöfði,356,349,31,71,253,247,1307
2017,Refur,1145,1404,1500,1075,836,1085,7045
2017,Rita,0,13,0,0,7,26,46
2017,Rjúpa,6708,8350,4660,7657,8992,8862,45229
2017,Silfurmáfur,83,631,267,189,206,381,1757
2017,Sílamáfur,857,5470,728,718,486,794,9053
2017,Skúfönd,34,6,10,0,57,2,109
2017,Stokkönd,3980,3459,804,881,1830,1246,12200
2017,Stuttnefja,188,155,134,1147,464,1305,3393
2017,Súluungar,0,0,0,1,0,4,5
2017,Svartbakur,460,2874,936,986,750,570,6576
2017,Teista,31,102,38,21,54,68,314
2017,Toppskarfur,119,1036,216,78,60,44,1553
2017,Toppönd,54,103,55,61,77,25,375
2017,Urtönd,607,349,72,123,202,196,1549
2016,Álka,351,717,951,1580,1972,2757,8328
2016,Blesgæs,144,87,0,3,4,2,240
2016,Dílaskarfur,263,770,267,95,103,146,1644
2016,Duggönd,43,13,4,10,97,16,183
2016,Fýll,1083,98,24,22,155,720,2102
2016,Grágæs,13551,5406,1104,5081,13056,6032,44230
2016,Hávella,57,58,67,112,93,297,684
2016,Heiðagæs,3428,1923,234,3110,3865,6347,18907
2016,Helsingi,1114,99,44,316,88,673,2334
2016,Hettumáfur,202,40,69,70,150,86,617
2016,Hrafn,397,572,389,730,518,297,2903
2016,Hreindýr,13,9,4,4,53,768,851
2016,Hvítmáfur,213,69,803,51,263,102,1501
2016,Kjói,30,91,20,26,104,29,300
2016,Langvía,736,1630,2082,3609,5596,3276,16929
2016,Lundi,271,1038,3403,9197,12825,579,27313
2016,Minkur,498,1153,655,451,151,615,3523
2016,Rauðhöfði,334,415,66,122,306,67,1310
2016,Refur,1082,1684,1676,1337,810,1288,7877
2016,Rita,39,5,0,26,59,50,179
2016,Rjúpa,4805,7286,3336,6370,10134,7698,39629
2016,Silfurmáfur,402,319,838,128,435,412,2534
2016,Sílamáfur,5384,7038,1507,883,539,315,15666
2016,Skúfönd,24,2,2,3,28,27,86
2016,Stokkönd,3709,2906,727,1168,1980,1032,11522
2016,Stuttnefja,85,265,266,1476,1732,1145,4969
2016,Súluungar,0,0,0,3,0,12,15
2016,Svartbakur,1697,3386,2203,1886,944,732,10848
2016,Teista,153,312,158,179,167,310,1279
2016,Toppskarfur,112,845,184,146,34,76,1397
2016,Toppönd,78,125,22,59,43,38,365
2016,Urtönd,498,384,55,163,213,152,1465
2015,Álka,300,378,562,1502,1211,2039,5992
2015,Blesgæs,98,78,3,2,9,5,195
2015,Dílaskarfur,101,715,204,107,122,71,1320
2015,Duggönd,11,19,0,6,40,41,117
2015,Fýll,783,102,15,20,364,575,1859
2015,Grágæs,12636,3421,1873,3761,11015,5414,38120
2015,Hávella,27,48,29,134,56,318,612
2015,Heiðagæs,2535,817,346,2844,3595,4191,14328
2015,Helsingi,938,58,16,289,162,400,1863
2015,Hettumáfur,140,117,178,93,127,449,1104
2015,Hrafn,372,361,320,316,795,262,2426
2015,Hreindýr,27,10,4,5,46,765,857
2015,Hvítmáfur,90,90,668,61,211,149,1269
2015,Kjói,12,108,14,28,70,41,273
2015,Langvía,507,871,876,4125,5368,1967,13714
2015,Lundi,423,925,6470,13033,12978,639,34468
2015,Minkur,435,866,385,378,246,424,2734
2015,Rauðhöfði,163,265,11,30,244,38,751
2015,Refur,981,1325,812,964,937,913,5932
2015,Rita,213,39,0,4,52,12,320
2015,Rjúpa,3598,5148,2211,5446,11530,9100,37033
2015,Silfurmáfur,147,129,407,164,236,565,1648
2015,Sílamáfur,2023,5629,825,1582,474,478,11011
2015,Skúfönd,41,1,2,2,14,5,65
2015,Stokkönd,3015,1914,774,907,1890,914,9414
2015,Stuttnefja,81,239,204,519,1056,1335,3434
2015,Súluungar,29,0,0,0,0,32,61
2015,Súluungar,29,0,0,0,0,32,61
2015,Svartbakur,1051,2788,1226,1359,976,852,8252
2015,Teista,68,256,223,240,91,316,1194
2015,Toppskarfur,111,819,219,75,71,113,1408
2015,Toppönd,55,107,34,41,40,27,304
2015,Urtönd,430,222,31,78,233,164,1158
2014,Álka,835,1132,943,2007,1676,1206,7799
