VatnsAflsVirkjun,Tala1,Tala2,VatnsAflsVirkjun,frumorka,idVirkjun,TegundVirkjunar,UppsettAfl
Haf_1,8245.3326084,1,Haf_1,24.0231204,1,Vatnsaflsvirkjun,310000
Haf_1,2714.6718000,11,Haf_1,24.0752520,2,Vatnsaflsvirkjun,180000
Haf_1,3880.7395200,5,Haf_1,19.0691748,3,Vatnsaflsvirkjun,120000
Haf_1,1162.4576400,14,Haf_1,20.2663296,4,Vatnsaflsvirkjun,690000
Haf_1,3281.5552464,13,Haf_1,12.5828532,5,Vatnsaflsvirkjun,280000
Haf_1,1871.9865396,3,Haf_1,23.6486340,6,Vatnsaflsvirkjun,47800
,901.0647648,6,,,7,Vatnsaflsvirkjun,5000
,491.6531124,12,,,8,Vatnsaflsvirkjun,8576
,411.1130268,10,,,9,Vatnsaflsvirkjun,14100
,2634.7343400,2,,,10,Vatnsaflsvirkjun,15000
,636.6082320,9,,,11,Vatnsaflsvirkjun,200000
,18119.3755212,4,,,12,Vatnsaflsvirkjun,30000
,8675.5335336,1,,,13,Vatnsaflsvirkjun,130000
,3290.7873600,11,,,14,Vatnsaflsvirkjun,110000
,4623.7210416,5,,,66,Vindmylla,1800
,1456.3422000,14,,,69,Jarï¿½varmavirkjun,60000
,3602.9351016,13,,,70,Jarï¿½varmavirkjun,3200
,2343.6541080,3,,,74,Jarï¿½varmavirkjun,90000
,1050.7192200,6,,,82,Vatnsaflsvirkjun,110000
,555.9345324,12,,,112,Varaafl,35000
,418.2623280,10,,,,,
,2954.5999200,2,,,,,
,636.6278160,9,,,,,
,17947.9231776,4,,,,,
,8404.4154240,1,,,,,
,3220.4800800,11,,,,,
,4496.8687200,5,,,,,
,1340.8484400,14,,,,,
,3656.4487200,13,,,,,
,2223.0965880,3,,,,,
,995.7295296,6,,,,,
,539.2177092,12,,,,,
,408.6496440,10,,,,,
,2651.8409460,2,,,,,
,358.5492000,9,,,,,
,18168.6261456,4,,,,,
,8442.7555212,1,,,,,
,3524.0220828,11,,,,,
,4917.1326300,5,,,,,
,1426.5194400,14,,,,,
,3721.8632400,13,,,,,
,2475.9815760,3,,,,,
,1117.9031688,6,,,,,
,589.6641816,12,,,,,
,412.2408276,10,,,,,
,3126.9465180,2,,,,,
,466.8651396,9,,,,,
,18232.0683048,4,,,,,
,8901.3984300,1,,,,,
,3348.7932096,11,,,,,
,4577.4244440,5,,,,,
,1303.1356536,14,,,,,
,3689.3268612,13,,,,,
,2328.8296788,3,,,,,
,1042.4693448,6,,,,,
,565.3617876,12,,,,,
,410.0144688,10,,,,,
,2971.9369044,2,,,,,
,636.9141708,9,,,,,
,17740.5388596,4,,,,,
,6539.0767308,1,,,,,
,2844.1149372,NULL,,,,,
,3205.9527480,11,,,,,
,4334.3668296,5,,,,,
,1327.7292084,14,,,,,
,3406.9651200,13,,,,,
,2175.5755800,3,,,,,
,947.6922024,6,,,,,
,511.3105920,12,,,,,
,414.4419792,10,,,,,
,2611.6282656,2,,,,,
,593.6350932,9,,,,,
,17409.8857752,4,,,,,
