Desember2015,Sep-15,Desember2014,Sep-14
16129045582,12964791364,13532606496,12037329470
867090151,1054940072,1172567244,919173675
17852081506,12753245147,15514282997,11539513815
-7030636330,-3877563202,-6243880461,-3921246101
3747526755,1620430705,,
7404586565,6079028502,,
3144526941,1462933189,,
1321574993,1072143761,,
736977050,738691548,,
577377055,909881707,,
13794244,-8456428,,
14273952,49803280,,
2487594553,1538001661,,
982997953,769051314,,
320805991,0,,
185223664,185223664,,
10117121355,2177212860,,
479937944,1103599896,,
527010381,437740054,,
351969010,255522382,,
123558410,8514000,,
0,0,,
-1027610148,181934401,,
2261454814,-259560830,,
1105559000,976048308,,
452340803,37746579,,
834204334,1028060947,,
63014921,75006111,,
1449891025,225162731,,
65493292474,43559138301,,
